Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1$2247480,6.1$2667600,0.0$1039080,0.0$1039080,0.0$1039080,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1$1238464,13.1$1416852,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2$508891,4$508891,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9$502000,16.8$1445697,34.3$1669178,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8$3285120,15.5$3449400,8$3613680,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9$2505793,3.9$2619207,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5$50000,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8$5307120,25.0$5572680,20.7$5837760
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1$502000,12.8$1901625,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4$2000000,17.8$2000000,14.1$2061266
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9$502000,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1$106352,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9$502000,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9$502000,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0$1761752
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0$4569840
Georgia,,,,,,,,,,,,,,,,,,,2.0$0,2.0$500000,12.0$550000,17.9$1750000,12.1$2000000,24.1$751179,,,14.4$1750000,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,13.6$543000,6.7$700320,9.7$749160,13.2$565850,20.2$1350000,10.8$751179,0.0$1100000,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,16.3$2530920,7.9$2720760,6.3$2910600,5.8$745248,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,11.3$366931,18.9$620046,31.4$4000000,28.1$4000000,15.2$4000000,19.1$4000000,14.0$4750000,15.7$4251250,28.3$4750000,21.8$5248750,25.0$5200000,23.7$5200000,26.4$5200000,18.1$2898000,14.1$3477600,12.9$2393887,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,7.1$24315,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4$427163,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6$473604,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9$473604,5.9$788872,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0$502000,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7$2816760,12.5$2957520,14.6$3098400,13.1$4765339
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9$502000,5.0$502000
Germany,,,,,,15.1$290000,21.1$0,19.4$390000,26.8$440000,33.0$0,32.1$1160000,32.6$1278000,37.8$1393000,33.7$1308000,35.2$5000000,34.9$5000000,35.9$3333000,35.2$3333333,35.3$3333000,21.6$2000000,15.3$2200000,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,8.5$200000,5.3$0,9.0$260000,5.6$280000,11.3$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,13.2$257500,11.7$267500,7.3$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,28.3$2700000,28.8$3510000,29.5$4320000,31.3$5130000,28.5$5940000,26.4$6750000,24.7$7560000,24.4$8370000,14.3$4500000,21.4$4000000,11.7$3500000,11.5$4000000,0.0$4500000,0.0$4800000,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,20.4$1472640,35.8$1583040,38.1$1693560,38.0$2157595,39.0$10067750,37.9$11326219,38.7$12584688,38.1$13843156,36.2$15101625,36.0$16360094,37.7$18077904,37.5$19795714,34.3$17278618,33.5$19092873,31.3$20907128,32.9$22721381,29.6$7974482,31.5$8333334,26.4$25000000,24.7$5000000,15.6$5000000,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,22.5$2394600,25.9$2574240,32.8$2753760,29.0$3491768,37.2$8600000,29.7$9500000,34.3$10400000,26.2$11800000,29.2$14030000,20.7$8000000,18.9$3183000,18.9$4800000,7.0$5000000,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1$1348200,19.7$1690680,20.3$1763400,31.5$2708582,31.0$15500000,29.3$15500000,30.8$15500000,32.1$16000000,28.7$5890000,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5$0,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0$144867,0.0$788872,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8$3000000,0.0$3000000,0.0$500000,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2$750000,15.3$1312611,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9$815615,13.8$1378242,24.1$5000000,24.6$5000000,20.8$8280351,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8$815615,21.2$1378242,25.5$8000000,26.8$8325000,24.6$8750000,24.6$9000000
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9$838464,11.6$1416852,12.2$1620564,17.9$1729217,24.9$7804879
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5$1000000,18.9$1416852,10.8$1663861,4.6$1729217,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4$1762080,18.6$2063520,16.0$2383915,26.0$1729217,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7$5007840,34.1$5258280
Greece,,,,,,,,,,,,,,,,,,,,0.0$658700,,,4.1$903360,0.0$971160,0.0$516865,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,16.6$763200,23.6$820400,16.5$877680,13.3$1580702,9.0$2900000,14.4$2900000,10.8$2900000,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,11.4$332817,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2$161061,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8$1800000,0.0$1944000,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8$1129320,4.8$1214040,8.7$1352640,16.5$2203792,22.4$3000000,16.9$3000000,16.6$3000000,19.0$7500000,20.0$8046500,19.6$8393000,12.0$8739500,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6$1792560,31.4$1873200,35.3$1953960,35.6$2995421,36.7$22471910,32.8$24157304,30.4$25842697,33.0$27528088,32.9$39344970,32.6$42492492
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5$0,14.4$816482,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5$4800000,11.3$350000,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1$2202240,7.2$2560916,0.0$2000400,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0$105888,,,3.0$1445697,6.5$1701593,9.7$1729217,9.9$1878720
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4$815615,14.5$1378242,,,,4.0$508891
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5$502000,4$502000,3.7$502000,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5$515805,
Israel,,,,,,,,,,,,,,,,,,,14.9$287500,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1$1167000,24.0$1254480,20.6$1341960,11.7$2277306,18.1$947907,21.1$1063384,27.2$3000000,17.9$3138414,17.1$1471382,14.0$2176260,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4$0,10.8$1450456,0.0$315760,0.0$315760,0.0$315760,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7$202836,9.0$2407560,7.9$2813280,5.0$4326825,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3$4469160,24.2$4692840,22.5$4916160
Italy,,,,,,,,,,,11.0$455000,8.2$456000,0.0$456000,0.0$456000,7.0$150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,4.3$415000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,9.4$500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,10.7$398762,11.1$664209,20.5$1500000,13.1$1620000,5.7$1740000,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1$4501200,23.9$4838880,31.4$5176440,35.0$6527491,35.7$8500000,33.3$9250000,28.7$10000000,29.9$11862500,27.1$11500000,13.8$1039298,0.0$323599,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3$1345800,21.0$1446720,17.0$1547640,24.5$2380270,29.8$3377604,25.8$1957000,25.2$2750000,22.4$2873750,24.6$6333333,24.0$6333333,24.3$7082277,23.0$6153846,15.5$5846154,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7$2873520,33.9$3089040,33.9$3304560,31.4$4190182,32.5$9439000,0.0$10146925,24.2$10854850,34.7$14000000,33.9$15050000,32.0$20559599,30.3$21587579,29.6$22615559,24.0$19500000,25.3$20475000,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0$0,10.0$1750000,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7$75000,24.2$1349383,16.0$3000000,10.2$3000000,7.6$791798,2.0$2133278
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4$4102564,12.6$3897436,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1$502000,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6$11055120
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8$3205128
Latvia,,,,,,,,,,,,,6.8$275000,0.0$300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,12.8$1727760,14.7$1857360,29.0$1986960,27.3$2636696,30.0$9000000,23.1$9000000,23.7$9000000,15.7$9000000,9.3$9000000,7.5$9000000,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4$4131720,32.8$4317720,32.4$4503600,,31.8$27285000,30.9$29467800,29.0$31650600,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1$543471,14.1$1312611,21.5$7000000,29.3$7000000,25.7$15000000,14.4$16000000,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9$194220,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5$1618320,14.6$1699236,6.0$1780152,,
