Name,Country,Start,Seasons,Minutes,Salary,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
J.R. Bremer,Bosnia,2002,2,17.9,913137,,,,,,,,,,,,,,,,,,,,,,,23.5$349458,12.3$563679,,,,,,,,,,,,,,,,,,,
Jiří Welsch,Czech Republic,2002,4,16.6,6157034,,,,,,,,,,,,,,,,,,,,,,,6.3$1234080,26.9$1326600,18.5$1419240,14.9$2177114,,,,,,,,,,,,,,,,,
Miloš Vujanić,Serbia,2002,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mladen Šekularac,Serbia,2002,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikoloz Tskitishvili,Georgia,2002,4,9.1,8907528,,,,,,,,,,,,,,,,,,,,,,,16.3$2530920,7.9$2720760,6.3$2910600,5.8$745248,,,,,,,,,,,,,,,,,
Pat Burke,Ireland,2002,3,9.3,1909458,,,,,,,,,,,,,,,,,,,,,,,12.6$349458,,,8.2$750000,7.1$810000,,,,,,,,,,,,,,,,
Predrag Savovic,Montenegro,2002,1,9.5,349458,,,,,,,,,,,,,,,,,,,,,,,9.5$349458,,,,,,,,,,,,,,,,,,,,
Raül López,Spain,2002,4,18.2,3941313,,,,,,,,,,,,,,,,,,,,,,,0.0$578160,19.7$621520,16.7$997320,0.0$1744313,,,,,,,,,,,,,,,,,
Robert Archibald,England,2002,2,7,913137,,,,,,,,,,,,,,,,,,,,,,,6.0$349458,8.0$563679,,,,,,,,,,,,,,,,,,,
Antoine Rigaudeau,France,2003,1,8.3,0,,,,,,,,,,,,,,,,,,,,,,,,8.3$0,,,,,,,,,,,,,,,,,,,
Boris Diaw,France,2003,14,26.8,80865921,,,,,,,,,,,,,,,,,,,,,,,,25.3$1021080,18.2$1097640,35.5$1174200,31.1$1870501,28.1$9000000,34.0$9000000,35.4$9000000,33.9$9000000,25.0$9000000,22.8$4500000,25.0$4702500,24.5$7500000,18.2$7000000,17.6$7000000,,,,,,
Chris Kaman,Germany,2003,13,25.6,86527368,,,,,,,,,,,,,,,,,,,,,,,,22.5$2394600,25.9$2574240,32.8$2753760,29.0$3491768,37.2$8600000,29.7$9500000,34.3$10400000,26.2$11800000,29.2$14030000,20.7$8000000,18.9$3183000,18.9$4800000,7.0$5000000,,,,,,,
Darius Songaila,Lithuania,2003,8,17.4,25337931,,,,,,,,,,,,,,,,,,,,,,,,13.4$366931,20.6$1600000,21.4$2200000,18.9$3650000,19.4$3942000,19.8$4235000,18.8$4526000,7.1$4818000,,,,,,,,,,,,
Darko Miličić,Serbia,2003,10,15.7,52323642,,,,,,,,,,,,,,,,,,,,,,,,4.7$3595800,6.9$3865440,13.9$4135200,23.9$5218622,23.8$6500000,17.0$7020000,21.4$7500000,24.4$4325000,16.3$4776500,5.0$5387080,,,,,,,,,,
Francisco Elson,Netherlands,2003,9,13,12558479,,,,,,,,,,,,,,,,,,,,,,,,14.1$366931,14.0$620046,21.9$719373,19.0$3000000,12.9$3000000,16.6$1700000,5.5$1700000,9.8$1146337,3.2$305792,,,,,,,,,,,
Maciej Lampe,Poland,2003,3,8.6,2629000,,,,,,,,,,,,,,,,,,,,,,,,10.7$829000,10.3$900000,4.7$900000,,,,,,,,,,,,,,,,,
Mickaël Piétrus,France,2003,10,21.2,34658719,,,,,,,,,,,,,,,,,,,,,,,,14.1$1527946,20.0$1785960,22.7$1910520,26.9$2535260,19.9$3470770,24.6$5300000,22.5$5300000,19.4$5300000,21.9$6523166,20.3$1005097,,,,,,,,,,
Ndudi Ebi,England,2003,4,14.4,2794320,,,,,,,,,,,,,,,,,,,,,,,,1.9$838560,27.0$901440,0.0$964320,0.0$90000,,,,,,,,,,,,,,,,
Slavko Vraneš,Montenegro,2003,1,3,129768,,,,,,,,,,,,,,,,,,,,,,,,3.0$129768,,,,,,,,,,,,,,,,,,,
Travis Hansen,Russia,2003,1,12.4,366931,,,,,,,,,,,,,,,,,,,,,,,,12.4$366931,,,,,,,,,,,,,,,,,,,
Žarko Čabarkapa,Montenegro,2003,4,10.6,6095497,,,,,,,,,,,,,,,,,,,,,,,,11.6$1221240,11.9$1312800,8.3$1404360,0.0$2157097,,,,,,,,,,,,,,,,
Zaza Pachulia,Georgia,2003,16,20.2,60356464,,,,,,,,,,,,,,,,,,,,,,,,11.3$366931,18.9$620046,31.4$4000000,28.1$4000000,15.2$4000000,19.1$4000000,14.0$4750000,15.7$4251250,28.3$4750000,21.8$5248750,25.0$5200000,23.7$5200000,26.4$5200000,18.1$2898000,14.1$3477600,12.9$2393887,,,,
Zoran Planinić,Croatia,2003,4,10.8,3311280,,,,,,,,,,,,,,,,,,,,,,,,9.7$980280,12.0$1053720,10.6$1127280,0.0$150000,,,,,,,,,,,,,,,,
Andris Biedriņš,Latvia,2004,10,19.3,62208776,,,,,,,,,,,,,,,,,,,,,,,,,12.8$1727760,14.7$1857360,29.0$1986960,27.3$2636696,30.0$9000000,23.1$9000000,23.7$9000000,15.7$9000000,9.3$9000000,7.5$9000000,,,,,,,,,
Ben Gordon,England,2004,11,26.1,84617019,,,,,,,,,,,,,,,,,,,,,,,,,24.4$3358320,31.0$3610200,33.0$3862080,31.8$4881669,36.6$6404750,27.9$10000000,26.0$10800000,26.9$11600000,20.8$12400000,14.7$13200000,14.1$4500000,,,,,,,,
Beno Udrih,Slovenia,2004,14,21,44739048,,,,,,,,,,,,,,,,,,,,,,,,,14.4$841680,10.9$904800,13.0$967920,32.0$2535445,31.1$5585000,31.4$6031800,34.6$6478600,18.3$6925400,22.1$7372000,15.7$1272279,18.9$2077000,16.1$2170465,14.4$1551659,0.0$25000,,,,,
D.J. Mbenga,Belgium,2004,7,6.3,10673747,,,,,,,,,,,,,,,,,,,,,,,,,3.9$800000,5.5$880000,3.8$1628959,7.8$2483569,7.9$2852599,7.2$959111,8.0$1069509,,,,,,,,,,,,
